,Pays,pop_2017,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Importations - Quantité,Nourriture,Pib_2017,Investment,Pib_hab17
93,Mali,18512430.0,-1.83,9.0,1.0,52.0,15365713059.0,560.747636,830.0213996217676
94,Malte,437933.0,1.17,103.0,9.0,12.0,13510309062.0,3429.193643,30850.173569929648
95,Maroc,35581255.0,-0.34,70.0,3.0,746.0,109682751915.0,2686.029715,3082.5993044652305
96,Maurice,1264499.0,0.96,128.0,2.0,48.0,13259348214.0,616.042093,10485.851087268557
97,Mauritanie,4282570.0,-0.66,11.0,24.0,22.0,6800135962.0,588.2,1587.8633535470524
98,Mexique,124777324.0,-0.72,123.0,972.0,4058.0,1158912015259.0,34130.86499,9287.841557324951
99,Mongolie,3113786.0,0.78,9.0,10.0,9.0,11425755104.0,2086.3,3669.4092349313664
100,Monténégro,627563.0,0.1,55.0,8.0,10.0,4856612346.0,558.565764,7738.844300890906
101,Mozambique,28649018.0,-0.84,13.0,24.0,103.0,13219079580.0,2374.888,461.4147535528094
102,Myanmar,53382523.0,-1.08,116.0,3.0,1621.0,68209182342.99999,4784.311,1277.7436979327483
103,Namibie,2402633.0,0.69,40.0,29.0,28.0,12887501268.0,279.946036,5363.907541434751
104,Nicaragua,6384846.0,-0.3,93.0,6.0,138.0,13785892849.0,1035.3,2159.158239525276
105,Niger,21602382.0,-1.2,3.0,3.0,20.0,11185105961.0,338.71071,517.7718809434997
106,Nigéria,190873244.0,-1.98,2.0,0.0,192.0,375769719405.0,2412.974916,1968.687237300792
107,Norvège,5296326.0,1.17,66.0,2.0,101.0,398393955269.0,-5849.000262,75220.81444174697
108,Nouvelle-Calédonie,277150.0,0.2466666666666666,136.0,9.0,11.0,9174048669.0,-410.14614,33101.384337001626
109,Nouvelle-Zélande,4702034.0,1.55,140.0,1.0,164.0,206623758800.0,2428.574474,43943.48462814178
110,Népal,27632681.0,-0.76,7.0,0.0,55.0,29443014181.0,197.775964,1065.5142069276594
111,Oman,4665928.0,0.74,73.0,126.0,101.0,70598026283.0,2918.075423,15130.543438089917
112,Ouganda,41166588.0,-0.7,5.0,0.0,62.0,31578959827.0,656.314784,767.1017045911116
113,Ouzbékistan,31959785.0,-0.3,6.0,140.0,384.3333333333333,59159948700.0,1797.341436,1851.0746771293989
114,Pakistan,207906209.0,-2.41,20.0,2.0,1218.0,302709723378.0,2496.121897,1455.9917418243149
115,Panama,4106769.0,0.36,117.0,20.0,139.0,62202725204.0,4176.645,15146.39007063704
116,Paraguay,6867061.0,0.03,22.0,1.0,41.0,38997129809.0,336.482,5678.867540131069
117,Pays-Bas,17021347.0,0.9,70.0,608.0,346.0,833869641687.0,46114.227904,48989.6388157177
118,Philippines,105172925.0,-1.13,48.0,249.0,1459.0,328480738148.0,10184.006,3123.244296457477
119,Pologne,37953180.0,0.6,107.0,55.0,1150.0,526504233551.0,9172.340071,13872.46690662021
120,Polynésie française,276102.0,0.3633333333333333,167.0,15.0,13.0,5833352684.0,-74.588377,21127.52781218535
121,Portugal,10288527.0,1.04,109.0,82.0,315.0,221357874719.0,7752.149208,21515.021024778376
122,Pérou,31444298.0,-0.28,62.0,60.0,424.0,211007952316.0,46.969,6710.531502913501
123,Roumanie,19653969.0,0.15,66.0,146.0,381.0,211695857898.0,5419.053106,10771.150493724705
124,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,66727460.99999999,0.34,120.0,779.0,2131.0,2699016715111.0,96378.285155,40448.36525566289
125,Rwanda,11980961.0,0.04,5.0,0.0,18.0,9252814353.0,356.4365,772.2931702223219
126,République centrafricaine,4596023.0,-1.97,8.0,4.0,11.0,2072349974.0,6.888751,450.9006969721431
127,République de Corée,51096415.0,0.34,62.0,137.0,854.0,1623901466309.0,17912.9,31781.123319688868
128,République de Moldova,4059684.0,-0.34,55.0,16.0,66.0,9669741743.0,151.59,2381.895177802016
129,République dominicaine,10513104.0,0.17,123.0,42.0,371.0,79998045976.0,3570.7,7609.365033961426
130,République démocratique populaire lao,6953035.0,0.47,41.0,54.66666666666666,277.6666666666667,17071172709.999998,1599.37,2455.211675189324
131,République populaire démocratique de Corée,25429825.0,-0.67,8.0,0.0,41.0,17364724931.0,-12.832422,682.8487781964682
132,République-Unie de Tanzanie,54660339.0,-0.5,6.0,2.0,103.0,54723795208.0,937.7,1001.1609186690188
133,Saint-Kitts-et-Nevis,52045.0,0.64,190.0,4.0,3.0,996944444.0,48.026116,19155.431722547797
134,Saint-Vincent-et-les Grenadines,109827.0,0.94,243.0,9.0,8.0,792177778.0,163.275188,7212.960182833
135,Sainte-Lucie,180954.0,0.97,241.0,10.0,10.0,1996770370.0,89.941452,11034.68489229307
136,Samoa,195352.0,1.18,217.0,17.0,13.0,825065062.0,9.078017,4223.478961054916
137,Sao Tomé-et-Principe,207089.0,0.27,33.0,2.0,2.0,378598871.0,34.2085,1828.194018030895
138,Serbie,8829628.0,0.12,35.0,12.0,90.0,44179075315.0,2878.572864,5003.503580785057
139,Sierra Leone,7488423.0,-0.1,10.0,14.0,30.0,3739577962.0,128.88345,499.381239815112
140,Slovaquie,5447900.0,0.81,48.0,63.0,76.0,95393515078.0,4016.771139,17510.14429009343
141,Slovénie,2076394.0,0.93,83.0,20.0,51.0,48589100043.0,897.753076,23400.71298751586
142,Soudan,40813397.0,-2.08,5.0,2.0,65.0,122072659961.0,1065.298481,2990.9948432128795
143,Sri Lanka,21128032.0,-0.03,26.0,0.0,164.0,87428117558.0,1372.723043,4138.0151998065885
145,Suriname,570496.0,0.16,112.0,18.0,18.0,3392950425.0,98.2,5947.369350530065
146,Suède,9904896.0,0.97,61.0,84.0,164.0,541018749769.0,12508.685369,54621.34582422672
147,Sénégal,15419355.0,-0.12,16.0,0.0,73.0,20996569847.0,588.292998,1361.7022143273828
148,Tadjikistan,8880268.0,-0.77,18.0,38.0,39.0,7536403147.0,307.029651,848.6684351193004
149,Tchad,15016753.0,-1.26,2.0,1.0,7.0,10394020227.0,363.381636,692.1616295480121
150,Tchéquie,10641034.0,1.0,82.0,116.0,234.0,218628940952.0,9521.682026,20545.836142615462
151,Thaïlande,69209810.0,-0.88,47.0,2.0,896.0,456356812775.0,8286.86401,6593.816870397419
152,Timor-Leste,1243258.0,0.0,14.0,11.0,5.0,1615609697.0,6.716,1299.4967231258515
153,Togo,7698474.0,-0.54,24.0,16.0,54.0,6387424244.0,88.560066,829.7000475678686
154,Trinité-et-Tobago,1384059.0,0.28,189.0,23.0,75.0,23180107752.0,-456.9,16747.918804039422
155,Tunisie,11433443.0,-1.0,57.0,0.0,195.0,39802143071.0,881.201112,3481.203612157773
156,Turkménistan,5757667.0,-0.11,15.0,9.0,26.0,38877854701.0,2085.944135,6752.362493523852
157,Turquie,81116450.0,-1.65,71.0,3.0,1674.0,858988578600.0,7401.0,10589.573121111684
158,Ukraine,44487709.0,-1.89,78.0,121.0,1006.0,112190328583.0,3692.946822,2521.827513819604
159,Uruguay,3436641.0,1.04,33.0,3.0,31.0,64233966863.0,-590.451027,18690.9155954899
160,Vanuatu,285510.0,0.66,40.0,4.0,3.0,880046992.0,38.248639,3082.368365381248
161,Venezuela (République bolivarienne du),29402484.0,-1.16,71.0,25.0,596.0,247930222859.0,-68.0,8432.288335196441
162,Viet Nam,94600648.0,0.15,48.0,291.0,1166.0,223779866149.0,14100.0,2365.5214935631307
163,Yémen,27834819.0,-2.86,30.0,78.0,237.0,20739380619.0,-269.85,745.0876766613787
164,Zambie,16853599.0,0.13,11.0,12.0,58.0,25868161487.0,1107.4,1534.8746274905436
165,Zimbabwe,14236595.0,-0.67,16.0,6.0,67.0,22040902301.0,349.41958,1548.1863676672688
166,Égypte,96442591.0,-1.38,50.0,110.0,1250.0,195135299313.0,13163.1,2023.33115783876
167,Émirats arabes unis,9487203.0,0.66,147.0,433.0,412.0,385605506855.0,10354.223,40644.804043404576
168,Équateur,16785361.0,-0.1,83.0,0.0,324.0,104295862000.0,629.542412,6213.501276499207
170,Éthiopie,106399924.0,-1.52,0.0,1.0,14.0,76794516911.0,4017.1,721.7534940250521
171,Îles Salomon,636039.0,0.43,18.0,6.0,3.0,1483798754.0,42.8399,2332.87385521957
