Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","242","Fidji","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","13429.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","246","Finlande","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","47570.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","250","France","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","44577.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","266","Gabon","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","15006.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","270","Gambie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","2072.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","268","Géorgie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","13589.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","288","Ghana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","5115.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","300","Grèce","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","28604.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","308","Grenade","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","16217.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","320","Guatemala","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","8322.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","324","Guinée","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","2417.8","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","226","Guinée équatoriale","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","22551","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","624","Guinée-Bissau","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","1925.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","328","Guyana","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","12005.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","332","Haïti","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","3153.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","340","Honduras","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","5562","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","348","Hongrie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","29501.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","584","Îles Marshall","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","3711.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","090","Îles Salomon","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","2663.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","356","Inde","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","6182.9","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","360","Indonésie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","10935.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","364","Iran (République islamique d')","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","15883.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","368","Iraq","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","10526.4","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","372","Irlande","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","77749.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","352","Islande","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","55638.5","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","376","Israël","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","39121.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","380","Italie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","41581.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","388","Jamaïque","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","9600.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","392","Japon","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","41444.2","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","400","Jordanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","10003.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","398","Kazakhstan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","24863","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","404","Kenya","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","4203.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","417","Kirghizistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","5046.7","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","296","Kiribati","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","2069.1","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","414","Koweït","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","50855.6","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","426","Lesotho","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","2668.3","X","Ciffre de sources internationales",""
"FS","Données de la sécurité alimentaire","428","Lettonie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2017)","2017","2017","I$","28673.6","X","Ciffre de sources internationales",""
