Pays,TCAM,indexpolitic,Disponibilité alimentaire en quantité (kg/personne/an),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib
Panama,1.3743283137255258,0.36,33.82,0.0,20.0,139.0,5.397256764689717
Paraguay,1.0578815420255516,0.03,5.99,4.0,1.0,41.0,-0.0756412223111402
Pays-Bas,0.1969868128423257,0.9,20.33,1418.0,608.0,346.0,0.5124011806876494
Philippines,1.192595996717194,-1.13,13.87,2.0,249.0,1459.0,3.117818909556957
Pologne,-0.0891544464871163,0.6,30.3,1025.0,55.0,1150.0,1.6045110655005468
Polynésie française,0.4359244255571992,0.9966666666666668,47.4,0.0,15.0,13.0,0.4953840592578862
Portugal,-0.3129948699913565,1.04,30.58,44.0,82.0,315.0,1.0840087205365334
Pérou,1.2314284039944612,-0.28,13.47,1.0,60.0,424.0,2.081794797896785
Roumanie,-0.5345503056606193,0.15,19.37,69.0,146.0,381.0,3.843362020062125
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.5199566301117287,0.34,31.94,359.0,779.0,2131.0,-1.2376726105313818
Rwanda,2.1077082538832226,0.04,1.49,0.0,0.0,18.0,3.189129281744996
République centrafricaine,0.8898682361016652,-1.97,2.29,0.0,4.0,11.0,3.255034284186409
République de Corée,0.2218243309633161,0.34,16.7,6.0,137.0,854.0,3.048128013207174
République de Moldova,-0.1056038810710924,-0.34,16.14,0.0,16.0,66.0,3.795762053522744
République dominicaine,0.8928170568709426,0.17,35.26,6.0,42.0,371.0,4.957644764550473
République démocratique populaire lao,1.2392816146032493,0.47,10.91,0.0,58.333333333333336,71.33333333333333,6.456350219965157
République populaire démocratique de Corée,0.3894977842232361,-0.67,1.62,0.0,0.0,41.0,0.1048950450263763
République-Unie de Tanzanie,2.422871443708852,-0.5,1.88,2.333333333333333,2.0,103.0,2.729332550086494
Saint-Kitts-et-Nevis,0.6481779514939223,0.64,55.77,0.0,4.0,3.0,1.9769795225308195
Saint-Vincent-et-les Grenadines,0.2468014781688454,0.94,72.31,0.0,9.0,8.0,2.1983894772978685
Sainte-Lucie,0.399827594130997,0.97,56.69,0.0,10.0,10.0,3.29547358588107
Samoa,0.4033483536606486,1.18,64.77,0.0,17.0,13.0,1.3465603255869096
Sao Tomé-et-Principe,1.5167881172568176,0.27,9.47,0.0,2.0,2.0,3.5485392566543927
Serbie,-0.2156548100708866,0.12,10.16,7.0,12.0,90.0,1.4764880827796478
Sierra Leone,1.7423730271914906,-0.1,3.97,0.0,14.0,30.0,-4.019384592609798
Slovaquie,0.0890359270445229,0.81,13.9,35.0,63.0,76.0,0.9062298626756782
Slovénie,0.0999119788832159,0.93,24.41,29.0,20.0,51.0,1.6407793089363354
Soudan,1.937226422101701,-2.08,1.6,0.0,2.0,65.0,-9.137819387733082
Sri Lanka,0.4200101622635177,-0.03,7.78,2.0,0.0,164.0,2.0806944214369016
Suisse,0.7671043731364957,1.31,15.72,4.0,51.0,133.0,0.0311003612151861
Suriname,0.8080219951898782,0.16,31.06,5.0,18.0,18.0,-7.481932434243843
Suède,0.5702305439404531,0.97,16.6,23.0,84.0,164.0,-0.9280736296385484
Sénégal,2.264883083738068,-0.12,4.76,0.0,0.0,73.0,3.176260633547789
Tadjikistan,1.9754514675257129,-0.77,4.45,0.0,38.0,39.0,-3.90803422235162
Tchad,2.5247303857703907,-1.26,0.45,0.0,1.0,7.0,-4.74290439655749
Tchéquie,0.1404194445132178,1.0,21.96,27.0,116.0,234.0,3.524753226193633
