Zone_x,Code zone,pop_2017,TCAM,prixpoulet,indexpolitic,Disponibilité alimentaire (Kcal/personne/jour),Exportations - Quantité,Importations - Quantité,Nourriture,TCAM_pib,Investment,Pib_hab17
Botswana,20,2205080.0,1.536362148059256,2284.488888888889,1.01,12.0,0.0,3.0,7.0,2.807066859844065,260.575045,7893.362919712664
Brésil,21,207833823.0,0.6528386639790051,1093.8166666666666,-0.4,204.0,4223.0,3.0,9982.0,-4.835669071979631,58835.838821,9928.675992078537
Bulgarie,27,7102444.0,-0.5414301709766423,669.4,0.22,81.0,45.0,108.0,157.0,3.0582452779607916,1813.806893,8335.277985718718
Burkina Faso,233,19193234.0,2.3496366374021083,1237.0166666666667,-0.87,8.0,2.6666666666666665,0.0,44.0,2.8946739230147234,2.57269,734.9962817626254
Bélarus,57,9450231.0,0.04424113125847118,792.4,0.14,95.0,152.0,21.0,264.0,-5.298787390260207,1278.5,5790.908054416871
Bénin,53,11175198.0,2.2280559320587034,2039.3111111111111,-0.03,37.0,0.0,123.0,161.0,3.266616114200094,168.995366,1136.5933602250268
Cabo Verde,35,537498.0,0.9650786333798678,4469.3,0.85,62.0,2.6666666666666665,12.0,9.0,1.1402144927164182,109.483591,3292.6383577241218
Cambodge,115,16009409.0,1.245596550958905,2834.4,0.12,11.0,3.3333333333333335,10.0,37.0,7.929505181317897,2788.084322,1385.2604194196051
Cameroun,32,24566073.0,2.141082538642003,2563.6666666666665,-1.14,11.0,0.0,0.0,78.0,2.060376378288331,814.002,1425.1060720205464
Canada,33,36732095.0,0.7786125075611494,1587.4,1.15,154.0,163.0,182.0,1433.0,-0.922053089135455,22766.845925,44906.74891992956
Chili,40,18470439.0,1.0695097336422155,1112.9,0.42,153.0,115.0,155.0,672.0,2.693485937344686,4377.88106,14998.813979245431
Chine - RAS de Hong-Kong,96,7306322.0,0.6558697690946413,4637.4,0.85,210.0,663.0,907.0,391.0,4.412351990618468,110685.529144,46705.02781289957
Chine - RAS de Macao,128,622585.0,1.3660110611668719,1620.5777777777778,1.32,142.0,0.0,23.0,21.0,0.14513126498945095,1509.294044,81043.96865488247
"Chine, Taiwan Province de",214,23674546.0,0.1988367191289253,2263.177777777778,0.89,126.0,8.0,161.0,785.0,2.2065369667961985,7513.192,21167.334921100493
"Chine, continentale",41,1421021791.0,0.3997177387665918,1974.45,0.7966666666666667,59.0,576.0,452.0,17518.0,5.8120544956674625,136340.0,8663.126783686317
Chypre,50,1179678.0,0.6337707159221218,2869.4,0.54,91.0,1.0,14.0,30.0,1.993103763777082,9437.308661,19387.26866314367
Colombie,44,48909839.0,1.1214584654883675,1919.033333333333,-0.88,111.0,2.0,78.0,1565.0,-2.5929757276729415,13836.696227,6376.707362336646
Congo,46,5110695.0,2.0559302769812327,5067.3,-0.48,72.0,0.0,104.0,110.0,-5.534226391599351,4416.953734,2154.629047517021
Costa Rica,48,4949954.0,0.8368787190155436,3029.533333333333,0.6,92.0,3.0,17.0,131.0,3.6858798241581114,2778.314023,12225.57717162624
Croatie,98,4182857.0,-0.47018248213039904,1088.1,0.68,37.0,17.0,24.0,45.0,1.3085436251239813,1010.596921,13439.243178286993
Cuba,49,11339254.0,0.05517965625116972,1755.9833333333333,0.66,82.0,14.333333333333334,312.0,269.0,4.40374628137945,4053.168517,8541.21443968007
Côte d'Ivoire,107,24437470.0,2.0524509910925026,2817.3333333333335,-0.93,8.0,0.0,7.0,62.0,4.634349587136688,975.014929,2111.0268089127067
Danemark,54,5732274.0,0.30856639485208337,1061.9499999999998,0.9,112.0,139.0,133.0,166.0,0.21705311697357565,3748.661569,57938.79772774295
Djibouti,72,944099.0,1.3057933566395175,2786.1888888888893,-0.49,9.0,2.6666666666666665,3.0,3.0,5.695070192559015,164.929862,2930.696962924439
Dominique,55,71458.0,0.15147122088725595,4324.788888888889,1.1,150.0,0.0,4.0,3.0,1.2948452250017617,22.677208,7286.797839290213
El Salvador,60,6388126.0,0.3959479998725923,2860.0,-0.19,71.0,2.0,16.0,131.0,2.8650192582575285,889.1,3910.2531791013516
Espagne,203,46647428.0,-0.036397059645543184,1309.1,0.31,105.0,212.0,205.0,1418.0,0.7424401819083437,41966.51642,28137.441564023637
Estonie,63,1319390.0,0.10073305362328089,1182.7,0.63,86.0,11.0,21.0,28.0,2.768050565543745,1950.836525,20406.691806819817
Eswatini,209,1124805.0,0.7425218056636096,2981.866666666667,-0.4,22.0,0.0,2.0,7.0,1.0747828362926093,-56.010183,3913.145927516325
Fidji,66,877459.0,0.3900423617994475,3628.6,0.74,97.0,0.0,3.0,25.0,2.819064498669377,386.185942,6101.130428886136
Finlande,67,5511371.0,0.222992996810234,1460.7,1.01,68.0,12.0,16.0,103.0,0.08857656795229207,2863.727251,46385.55087581656
France,68,64842509.0,0.24707545485269655,1705.7,0.08,92.0,501.0,506.0,1485.0,-0.4329424378980873,24832.525615,40022.37244086283
Fédération de Russie,185,145530082.0,0.14738204877213779,1385.05,-0.79,104.0,115.0,226.0,4509.0,-4.249680471217232,28557.435,10817.003314854175
Gabon,74,2064822.9999999998,2.3836255539609663,2137.2833333333333,-0.11,99.0,0.0,76.0,61.0,-1.487330487810401,1314.02933,7230.472773695374
Gambie,75,2213889.0,2.4110093065715876,3290.7833333333333,-0.14,12.0,2.6666666666666665,16.0,8.0,6.325145613939509,18.444836,679.7784726334518
Ghana,81,29121465.0,1.8017901056747387,3370.6999999999994,-0.02,16.0,0.0,151.0,211.0,4.217246187682044,3255.0,2074.1754430280207
Grenade,86,110874.0,0.464345849125003,5710.6,0.95,192.0,2.6666666666666665,7.0,5.0,5.057495089963915,155.662145,10152.832810217003
Grèce,84,10569450.0,-0.33719271130705497,1825.5,-0.06,53.0,29.0,79.0,162.0,-2.0464229103861142,3484.812643,18907.740557928748
Guatemala,89,16914970.0,1.6109991646855448,3290.633333333333,-0.6,71.0,7.0,129.0,348.0,4.821147264296433,1130.0,4236.1149056131935
Guinée,90,12067519.0,2.1696193407133357,2913.5,-0.59,14.0,2.6666666666666665,37.0,49.0,6.196788784848439,577.59,855.5750570601961
Guinée-Bissau,175,1828145.0,2.062325089467887,2843.7999999999997,-0.54,7.0,2.6666666666666665,4.0,4.0,5.5849858347818415,15.691198,738.5502856720884
Guyana,91,775222.0,0.4060784058755207,2033.4,-0.1,165.0,0.0,0.0,30.0,3.0109651727161735,212.151382,6124.922066195232
